-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/15/2014 through 04/15/2024 
Location: Latitude  21.1575   Longitude 79.0818 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,PS,WS10M
2014,4,15,40.59,25.29,0.39,38.38,97.71,3.78
2014,4,16,42.31,24.48,0.49,29.94,97.5,2.7
2014,4,17,42.69,25.38,0.3,25.69,97.38,2.76
2014,4,18,41.05,25.62,1.33,39.06,97.66,3.9
2014,4,19,41.33,27.55,0.51,33.81,97.67,2.1
2014,4,20,38.59,28.4,0.34,34.94,97.66,1.4
2014,4,21,38.52,26.87,0.23,35.12,97.7,2.05
2014,4,22,40.13,26.9,0.02,31.88,97.83,1.45
2014,4,23,40.68,27.46,0.0,30.06,97.72,2.32
2014,4,24,42.68,28.65,0.0,22.81,97.45,2.73
2014,4,25,44.0,25.97,0.0,16.62,97.43,2.72
2014,4,26,44.76,26.46,0.0,15.94,97.36,2.12
2014,4,27,44.98,26.97,0.0,15.31,97.39,2.21
2014,4,28,44.55,26.19,0.0,15.62,97.37,1.6
2014,4,29,44.3,28.05,0.02,21.44,97.33,2.95
2014,4,30,43.03,29.57,0.32,27.06,97.4,4.5
2014,5,1,44.58,29.73,1.85,26.0,97.28,3.91
2014,5,2,44.86,27.64,0.41,18.25,97.23,1.95
2014,5,3,43.03,28.65,1.35,28.25,97.34,4.52
2014,5,4,39.37,28.87,0.09,36.06,97.41,2.99
2014,5,5,41.34,27.14,3.21,36.06,97.45,4.54
2014,5,6,40.27,26.74,0.75,37.94,97.56,3.62
2014,5,7,41.4,27.37,0.14,37.12,97.45,4.05
2014,5,8,40.84,29.38,0.45,34.69,97.3,5.53
2014,5,9,38.67,26.29,4.69,45.88,97.33,5.37
2014,5,10,40.72,24.23,0.08,46.94,97.18,3.09
2014,5,11,41.68,26.65,0.0,28.62,97.33,3.76
2014,5,12,42.64,26.42,0.0,22.69,97.38,3.93
2014,5,13,42.21,29.33,0.06,24.44,97.38,2.94
2014,5,14,42.32,30.85,1.69,22.62,97.35,3.84
2014,5,15,42.43,27.08,0.04,22.69,97.24,3.71
